ID_Finance,Tax_Period,Chiffre_Affaires,Benefice,RefEmployer
8221,2014-06-30,0,0,611198382
8222,2013-12-30,0,0,200599452
8223,2014-12-30,0,0,611351771
8224,2013-12-30,0,0,611306306
8225,2013-06-30,17928,17928,311042910
8226,2014-06-30,0,0,311119242
8227,2014-06-30,97282,92255,611227430
8228,2013-12-30,102352,NULL,610449610
8229,2013-12-30,639036,NULL,262361758
8230,2013-12-30,74885,72473,611326517
8231,2012-12-30,0,0,611286517
8232,2014-12-30,0,0,611178122
8233,2014-12-30,0,0,510181691
8234,2014-06-30,0,0,263084942
8235,2013-12-30,499834,466522,751173792
8236,2013-12-30,748696,75754,10356732
8237,2014-12-30,0,0,611217377
8238,2014-03-30,787672,787672,611149619
8239,NULL,NULL,NULL,611099719
8240,NULL,NULL,NULL,611005783
8241,2014-12-30,0,0,621285449
8242,NULL,NULL,NULL,616001496
8243,2014-09-30,568824,559351,611270383
8244,2012-12-30,0,0,201342331
8245,2013-12-30,32871,32871,208702019
8246,2014-06-30,414314,414314,161674338
8247,2011-12-30,0,0,260273581
8248,2014-06-30,0,0,610961297
8249,2011-12-30,0,0,611129870
8250,2013-06-30,4791016,4772424,274026852
8251,NULL,NULL,NULL,270230848
8252,2014-06-30,64823846,64509439,610470593
8253,NULL,NULL,NULL,310936292
8254,2013-12-30,20202,14270,611316656
8255,2014-05-30,0,0,611102638
8256,2013-12-30,287456,248692,611111934
8257,2014-12-30,212155,162595,621516963
8258,2013-12-30,402396,390619,611298938
8259,2012-06-30,93953,82190,611236675
8260,2013-12-30,15356,15356,611355835
8261,2013-06-30,0,0,320088427
8262,2013-06-30,0,0,611215041
8263,2014-05-30,0,0,611003401
8264,2013-05-30,NULL,NULL,610448560
8265,2013-10-30,0,0,383685036
8266,2014-06-30,144952,144952,611243762
8267,2013-12-30,0,0,300217765
8268,2013-12-30,11814119,6525844,610444690
8269,2013-12-30,0,0,262841741
8270,2014-12-30,0,0,611283484
8271,2014-12-30,0,0,611224552
8272,NULL,NULL,NULL,753219675
8273,2012-12-30,0,0,510163465
8274,2014-06-30,12443513,11713338,611378343
8275,NULL,NULL,NULL,331068339
8276,2014-12-30,0,0,611040631
8277,2013-12-30,0,0,611141871
8278,2013-12-30,209153,209153,610623420
8279,2014-06-30,68613,68257,611281685
8280,2012-12-30,0,0,611323247
8281,2014-12-30,0,0,611152399
8282,2014-06-30,0,0,310927113
8283,2013-12-30,0,0,611205386
8284,NULL,NULL,NULL,611331823
8285,2011-12-30,0,0,310896368
8286,2013-12-30,0,0,510493826
8287,2014-12-30,0,0,610980414
8288,2013-12-30,0,0,275488499
8289,2013-12-30,17003,11693,270882599
8290,2012-12-30,0,0,10859334
8291,2013-12-30,11364,11364,611280618
8292,NULL,NULL,NULL,274818307
8293,2012-12-30,0,0,611314628
8294,NULL,NULL,NULL,611303007
8295,2014-06-30,0,0,611135360
8296,2014-04-30,0,0,311047482
8297,NULL,NULL,NULL,610918745
8298,2013-06-30,0,0,352170587
8299,2013-06-30,NULL,NULL,616055628
8300,2013-12-30,0,0,611372120
8301,NULL,NULL,NULL,611272862
8302,2013-12-30,49881,49881,610651356
8303,2013-12-30,0,0,611053539
8304,2013-06-30,1210959,736545,610850306
8305,2013-12-30,0,0,237174129
8306,2013-12-30,501901,450215,610461732
8307,2013-12-30,9747,9747,611114135
8308,2013-12-30,30066,30066,611204320
8309,2014-06-30,0,0,611008796
8310,2014-12-30,0,0,611261503
8311,2013-06-30,181520,166727,311061542
8312,NULL,NULL,NULL,237139750
8313,NULL,NULL,NULL,611349958
8314,NULL,NULL,NULL,616180992
8315,2014-06-30,810445,531819,611390403
8316,2014-12-30,0,0,616057845
8317,2013-12-30,636,636,562527447
